rank,rank_change,title,revenue,revenue_change,profits,expenses,profit_change,assets,market_value,employees,ceo_title,sector,industry,years_on_fortune_500,city,state
750,33,Legg Mason,"2,887",8.50%,227.30,2659.7,-,"$8,290","$3,437","3,338","Chairman, President &  Chief Executive Officer",Financials,Securities,-,Baltimore,MD
751,41,Hyster-Yale Materials Handling,"2,885",12.30%,48.60,2836.4,13.60%,"$1,648","$1,157","6,800","Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Cleveland,OH
752,129,Apollo Global Management,"2,884",29.80%,629.10,2254.9,56.20%,"$6,991","$5,970","1,047",Chairman &  Chief Executive Officer,Financials,Securities,-,New York,NY
753,-92,Citrix Systems,"2,883",-15.70%,-20.70,2903.7,-103.90%,"$5,820","$12,635","7,500","President, Chief Executive Officer &  Director",Technology,Computer Software,-,Fort Lauderdale,FL
754,0,Acadia Healthcare,"2,877",0.90%,199.80,2677.2,3153.10%,"$6,425","$3,459","34,050",Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,-,Franklin,TN
755,-64,Varian Medical Systems,"2,862",-11.10%,249.60,2612.4,-38.00%,"$3,179","$11,198","6,600","President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,-,Palo Alto,CA
756,-52,Groupon,"2,859",-9.00%,14.00,2845,-,"$1,678","$2,437","6,672",Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,-,Chicago,IL
757,25,Aleris,"2,858",7.30%,-210.60,3068.6,-,"$2,644",-,"5,400","Chairman, President &  Chief Executive Officer",Materials,Metals,-,Cleveland,OH
758,79,Sprague Resources,"2,855",19.50%,29.50,2825.5,190.20%,"$1,363",$542,981,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Portsmouth,NH
759,-16,Cooper Tire & Rubber,"2,855",-2.40%,95.40,2759.6,-61.60%,"$2,608","$1,491","9,204","President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,-,Findlay,OH
760,-760,Hain Celestial Group,"2,853",-1.10%,67.40,2785.6,42.20%,"$2,931","$3,333","7,825","Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,-,Lake Success,NY
761,38,Penn Mutual Life Insurance,"2,851",12.40%,594.00,2257,181.80%,"$31,660",-,"3,089",Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,Horsham,PA
762,-762,Colony NorthStar,"2,842",613.20%,-197.90,3039.9,-568.00%,"$24,786","$3,038",544,"President, Chief Executive Officer &  Director",Financials,Real estate,-,Los Angeles,CA
763,11,ArcBest,"2,827",4.70%,59.70,2767.3,220.20%,"$1,366",$822,"13,000","Chairman, President &  Chief Executive Officer",Transportation,"Trucking, Truck Leasing",-,Fort Smith,AR
764,-764,Presidio,"2,818",2.80%,4.40,2813.6,-,"$2,651","$1,438","2,700","Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,-,New York,NY
765,66,TRI Pointe Group,"2,810",16.80%,187.20,2622.8,-4.10%,"$3,805","$2,487","1,251",Chairman &  Chief Executive Officer,Engineering &  Construction,Homebuilders,-,Irvine,CA
766,87,Annaly Capital Management,"2,809",20.10%,"1,569.60",1239.4,9.50%,"$101,760","$12,095",152,"Chairman, President &  Chief Executive Officer",Financials,Diversified Financials,-,New York,NY
767,71,G-III Apparel Group,"2,807",17.60%,62.10,2744.9,19.60%,"$1,915","$1,849","9,961",Chairman &  Chief Executive Officer,Apparel,Apparel,-,New York,NY
768,-5,AMC Networks,"2,806",1.80%,471.30,2334.7,74.20%,"$5,033","$3,140","2,039","President, Chief Executive Officer &  Director",Media,Entertainment,-,New York,NY
769,101,Enable Midstream Partners,"2,803",23.40%,436.00,2367,39.70%,"$11,593","$5,935","1,630","President, Chief Executive Officer &  Director",Energy,Pipelines,-,Oklahoma City,OK
770,18,Ciena,"2,802",7.70%,"1,262.00",1540,1638.60%,"$3,952","$3,719","5,737","President, Chief Executive Officer &  Director",Technology,Network and Other Communications Equipment,-,Hanover,MD
771,1,DSW,"2,800",3.30%,67.30,2732.7,-46.00%,"$1,414","$1,798","12,000",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Columbus,OH
772,-26,Convergys,"2,792",-4.20%,121.40,2670.6,-15.10%,"$2,415","$2,073","115,000","President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,-,Cincinnati,OH
773,-773,Park Hotels & Resorts,"2,791",-,"2,625.00",166,-,"$9,714","$5,435",520,"Chairman, President &  Chief Executive Officer",Financials,Real estate,-,McLean,VA
774,17,Pool,"2,788",8.50%,191.60,2596.4,28.70%,"$1,101","$5,931","4,000","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Covington,LA
775,-52,Fossil Group,"2,788",-8.40%,-478.20,3266.2,-706.30%,"$1,658",$618,"12,300",Chairman &  Chief Executive Officer,Apparel,Apparel,-,Richardson,TX
776,39,Dominos Pizza,"2,788",12.80%,277.90,2510.1,29.50%,$837,"$10,060","14,200","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,-,Ann Arbor,MI
777,-10,Crane,"2,786",1.40%,171.80,2614.2,39.90%,"$3,594","$5,547","10,600","President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,Stamford,CT
778,12,Caleres,"2,786",8.00%,87.20,2698.8,32.80%,"$1,489","$1,444","12,000","Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,-,St. Louis,MO
779,-70,Tempur Sealy International,"2,754",-12.00%,151.40,2602.6,-20.60%,"$2,694","$2,461","7,000","Chairman, President &  Chief Executive Officer",Household Products,"Home Equipment, Furnishings",-,Lexington,KY
780,9,Tetra Tech,"2,753",6.60%,117.90,2635.1,40.70%,"$1,903","$2,734","16,000","Chairman, President &  Chief Executive Officer",Engineering &  Construction,"Engineering, Construction",-,Pasadena,CA
781,52,Illumina,"2,752",14.70%,726.00,2026,56.90%,"$5,257","$34,754","6,200","President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,San Diego,CA
782,22,Valmont Industries,"2,746",8.90%,116.20,2629.8,-32.90%,"$2,602","$3,322","10,690","President, Chief Executive Officer &  Director",Materials,Metals,-,Omaha,NE
783,1,Hill-Rom Holdings,"2,744",3.30%,133.60,2610.4,7.70%,"$4,529","$5,757","10,000","President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,-,Chicago,IL
784,-28,Unisys,"2,742",-2.80%,-65.30,2807.3,-,"$2,542",$544,"20,500","President, Chief Executive Officer &  Director",Technology,Information Technology Services,-,Blue Bell,PA
785,31,Zions Bancorp.,"2,736",10.80%,592.00,2144,26.20%,"$66,288","$10,362","10,083",Chairman &  Chief Executive Officer,Financials,Commercial Banks,-,Salt Lake City,UT
786,-17,Sinclair Broadcast Group,"2,734",-0.10%,576.00,2158,134.80%,"$6,785","$3,185","8,900","President, Chief Executive Officer &  Director",Media,Entertainment,-,Cockeysville,MD
787,91,Louisiana-Pacific,"2,734",22.40%,389.80,2344.2,160.20%,"$2,449","$4,173","5,000",Chairman &  Chief Executive Officer,Materials,"Building Materials, Glass",-,Nashville,TN
788,22,Mettler-Toledo International,"2,725",8.60%,376.00,2349,-2.20%,"$2,550","$14,635","14,600","President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Columbus,OH
789,38,Synopsys,"2,725",12.50%,136.60,2588.4,-48.80%,"$5,396","$12,380","11,686",Chairman &  Co-Chief Executive Officer,Technology,Computer Software,-,Mountain View,CA
790,13,Kemper,"2,723",8.00%,120.90,2602.1,619.60%,"$8,376","$2,933","5,550","President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),-,Chicago,IL
791,38,Cabot,"2,717",12.70%,241.00,2476,61.70%,"$3,314","$3,444","4,500","President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,Boston,MA
792,-14,Great Plains Energy,"2,708",1.20%,-106.20,2814.2,-136.60%,"$12,458","$6,856","2,709","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,KCMO,MO
793,-58,Rent-A-Center,"2,703",-8.80%,6.70,2696.3,-,"$1,421",$461,"18,300",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Plano,TX
794,25,Hawaiian Holdings,"2,696",10.00%,364.00,2332,54.60%,"$2,860","$1,986","6,660","President, Chief Executive Officer &  Director",Transportation,Airlines,-,Honolulu,HI
795,60,Revlon,"2,694",15.40%,-183.20,2877.2,-,"$3,057","$1,085","7,800",Vice Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,-,New York,NY
796,-796,Syneos Health,"2,672",65.90%,-138.50,2810.5,-222.90%,"$7,286","$3,713","21,000",Chairman &  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,Raleigh,NC
797,-3,Public Storage,"2,669",4.20%,"1,442.20",1226.8,-0.80%,"$10,733","$34,885","5,600",Chairman &  Chief Executive Officer,Financials,Real estate,-,Glendale,CA
798,2,TTM Technologies,"2,659",4.90%,124.20,2534.8,256.30%,"$2,782","$1,582","29,000","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Costa Mesa,CA
799,21,Vectren,"2,657",8.50%,216.00,2441,2.10%,"$6,239","$5,310","5,500","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,Evansville,IN
800,44,Trimble,"2,654",12.40%,121.10,2532.9,-8.50%,"$4,298","$8,920","9,523","President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Sunnyvale,CA
801,109,NOW,"2,648",25.70%,-52.00,2700,-,"$1,749","$1,104","4,463","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Houston,TX
802,58,Spirit Airlines,"2,648",14.00%,420.60,2227.4,58.80%,"$4,144","$2,577","6,100",Chairman &  Chief Executive Officer,Transportation,Airlines,-,Miramar,FL
803,19,ASGN,"2,626",7.60%,157.70,2468.3,62.20%,"$1,810","$4,272","3,800",Chief Executive Officer &  Director,Business Services,Temporary Help,-,Calabasas,CA
804,64,Lincoln Electric Holdings,"2,624",15.40%,247.50,2376.5,24.80%,"$2,407","$5,902","11,000","Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Cleveland,OH
805,-4,Prologis,"2,618",3.40%,"1,652.30",965.7,36.60%,"$29,481","$33,578","1,565",Chairman &  Chief Executive Officer,Financials,Real estate,-,SF,CA
806,-806,Range Resources,"2,611",137.40%,333.10,2277.9,-,"$11,729","$3,614",773,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Fort Worth,TX
807,93,Teledyne Technologies,"2,604",21.10%,227.20,2376.8,19.00%,"$3,846","$6,682","10,340","Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,-,Thousand Oaks,CA
808,50,Vishay Intertechnology,"2,604",12.10%,-20.30,2624.3,-141.70%,"$3,459","$2,682","23,000","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Malvern,PA
809,-13,Boston Properties,"2,602",2.00%,462.40,2139.6,-9.80%,"$19,372","$19,018",740,Chief Executive Officer,Financials,Real estate,-,Boston,MA
810,-4,Applied Industrial Technologies,"2,594",2.90%,133.90,2460.1,352.80%,"$1,388","$2,819","5,554","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Cleveland,OH
811,2,Graham Holdings,"2,592",4.40%,302.00,2290,79.20%,"$4,938","$3,312","16,153","President, Chief Executive Officer &  Director",Business Services,Education,-,Arlington,VA
812,22,Amica Mutual Insurance,"2,590",8.00%,96.10,2493.9,-38.90%,"$6,355",-,"3,693","Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),-,Lincoln,RI
813,-813,Concho Resources,"2,586",58.20%,956.00,1630,-,"$13,732","$22,409","1,203",Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,Midland,TX
814,16,ITT,"2,585",7.50%,113.50,2471.5,-39.00%,"$3,700","$4,343","10,000","President, Chief Executive Officer &  Director",Industrials,Industrial Machinery,-,White Plains,NY
815,39,Kansas City Southern,"2,583",10.70%,962.00,1621,101.20%,"$9,199","$11,320","7,130","President, Chief Executive Officer &  Director",Transportation,Railroads,-,KCMO,MO
816,41,MDC Holdings,"2,578",10.80%,141.80,2436.2,37.40%,"$2,780","$1,567","1,491",Chairman &  Chief Executive Officer,Engineering &  Construction,Homebuilders,-,Denver,CO
817,-24,Evergy,"2,571",0.30%,323.90,2247.1,-6.50%,"$11,624","$7,480","2,205","President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Topeka,KS
818,22,Pinnacle Entertainment,"2,562",7.70%,63.10,2498.9,-,"$3,950","$1,753","15,377",Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV
819,20,Hawaiian Electric Industries,"2,556",7.30%,165.30,2390.7,-33.40%,"$13,100","$3,742","3,880","President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Honolulu,HI
820,-149,TEGNA,"2,550",-23.70%,273.70,2276.3,-37.30%,"$4,962","$2,456","5,283","President, Chief Executive Officer &  Director",Media,Entertainment,-,McLean,VA
821,-4,Southwest Gas Holdings,"2,549",3.60%,193.80,2355.2,27.50%,"$6,237","$3,259","7,771","President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,-,Las Vegas,NV
822,50,Vista Outdoor,"2,547",12.20%,-274.50,2821.5,-286.70%,"$2,977",$936,"6,400",Chairman &  Chief Executive Officer,Household Products,Miscellaneous,-,Farmington,UT
823,-44,Bon-Ton Stores,"2,541",-5.00%,-90.70,2631.7,-,"$1,587",$1,"23,300","President, Chief Executive Officer &  Director",Retailing,General Merchandisers,-,York,PA
824,60,Super Micro Computer,"2,530",14.20%,69.30,2460.7,-3.70%,"$1,489",$828,"2,699","Chairman, President &  Chief Executive Officer",Technology,"Computers, Office Equipment",-,San Jose,CA
825,-30,Plexus,"2,528",-1.10%,112.10,2415.9,46.60%,"$1,976","$2,012","16,000","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Neenah,WI
826,-60,TrueBlue,"2,509",-8.80%,55.50,2453.5,-,"$1,109","$1,063","5,500",Chairman &  Chief Executive Officer,Business Services,Temporary Help,-,Tacoma,WA
827,62,Magellan Midstream Partners,"2,508",13.70%,869.50,1638.5,8.30%,"$7,394","$13,315","1,802","Chairman, President &  Chief Executive Officer",Energy,Pipelines,-,Tulsa,OK
828,8,Toro,"2,505",4.70%,267.70,2237.3,15.90%,"$1,494","$6,621","6,779","Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,-,Bloomington,MN
829,22,Akamai Technologies,"2,503",7.00%,218.30,2284.7,-30.90%,"$4,603","$12,069","7,650",Chief Executive Officer &  Director,Technology,Internet Services and Retailing,-,Cambridge,MA
830,-2,Moog,"2,498",3.50%,141.30,2356.7,11.50%,"$3,091","$2,949","10,675",Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,-,Elma Center,NY
831,-831,Vertex Pharmaceuticals,"2,489",46.20%,263.50,2225.5,-,"$3,546","$41,379","2,300","Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,-,Boston,MA
832,-7,Equity Residential,"2,471",1.90%,603.50,1867.5,-85.90%,"$20,571","$22,687","2,683","President, Chief Executive Officer &  Director",Financials,Real estate,-,Chicago,IL
833,32,Selective Insurance Group,"2,470",8.10%,168.80,2301.2,6.50%,"$7,686","$3,566","2,260",Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),-,Branchville,NJ
834,22,AptarGroup,"2,469",5.90%,220.00,2249,7.00%,"$3,138","$5,600","13,200","President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",-,Crystal Lake,IL
835,28,Benchmark Electronics,"2,467",6.80%,-32.00,2499,-149.90%,"$2,097","$1,455","10,600","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,Scottsdale,AZ
836,5,Columbia Sportswear,"2,466",3.70%,105.10,2360.9,-45.20%,"$2,213","$5,351","6,188","President, Chief Executive Officer &  Director",Apparel,Apparel,-,Portland,OR
837,-26,A. Schulman,"2,461",-1.40%,33.00,2428,-,"$1,754","$1,270","4,900","Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,-,Fairlawn,OH
838,-52,Verso,"2,461",-6.80%,-30.00,2491,-,"$1,732",$580,"4,200","President, Chief Executive Officer &  Director",Materials,Forest and Paper Products,-,Miamisburg,OH
839,62,Digital Realty Trust,"2,458",14.70%,248.30,2209.7,-41.70%,"$21,404","$21,701","1,429",Chairman &  Chief Executive Officer,Financials,Real estate,-,SF,CA
840,-43,GNC Holdings,"2,453",-3.40%,-148.90,2601.9,-,"$1,517",$323,"11,500",Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,-,Pittsburgh,PA
841,89,E*Trade Financial,"2,452",21.00%,614.00,1838,11.20%,"$63,365","$14,692","3,607",Chairman &  Chief Executive Officer,Financials,Securities,-,New York,NY
842,-77,Hovnanian Enterprises,"2,452",-10.90%,-332.20,2784.2,-,"$1,901",$271,"1,905","Chairman, President &  Chief Executive Officer",Engineering &  Construction,Homebuilders,-,Red Bank,NJ
843,-11,Maximus,"2,451",2.00%,209.40,2241.6,17.40%,"$1,351","$4,353","20,400","President, Chief Executive Officer &  Director",Technology,Information Technology Services,-,Reston,VA
844,-42,Twitter,"2,443",-3.40%,-108.10,2551.1,-,"$7,413","$21,784","3,372",Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,-,SF,CA
845,129,Par Pacific Holdings,"2,443",31.00%,72.60,2370.4,-,"$1,347",$784,905,"President, Chief Executive Officer &  Director",Energy,Petroleum Refining,-,Houston,TX
846,-22,Parexel International,"2,442",0.60%,107.30,2334.7,-30.70%,"$2,313",-,"18,900",Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,Waltham,MA
847,55,RH,"2,440",14.30%,2.20,2437.8,-59.60%,"$1,733","$2,050","4,750",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Corte Madera,CA
848,-848,Nexstar Media Group,"2,432",120.40%,475.00,1957,418.90%,"$7,482","$3,066","8,737","Chairman, President &  Chief Executive Officer",Media,Entertainment,-,Irving,TX
849,-263,Knight-Swift Transportation Holdings,"2,426",116.90%,484.30,1941.7,416.00%,"$7,683","$8,199","25,300","President, Chief Executive Officer &  Director",Transportation,"Trucking, Truck Leasing",-,Phoenix,AZ
850,70,Red Hat,"2,412",17.50%,253.70,2158.3,27.30%,"$4,535","$26,464","10,500","President, Chief Executive Officer &  Director",Technology,Computer Software,-,Raleigh,NC
851,-5,Belden,"2,389",1.40%,93.20,2295.8,-27.20%,"$3,841","$2,891","8,800","Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",-,St. Louis,MO
852,42,Boyd Gaming,"2,384",9.10%,189.20,2194.8,-54.70%,"$4,686","$3,589","19,707","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV
853,85,Primoris Services,"2,380",19.20%,72.40,2307.6,170.80%,"$1,256","$1,287","7,102","President, Chief Executive Officer &  Director",Engineering &  Construction,"Engineering, Construction",-,Dallas,TX
854,-854,Gardner Denver,"2,375",22.50%,18.40,2356.6,-,"$4,621","$6,051","6,400",Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,-,Milwaukee,WI
855,27,Donaldson,"2,372",6.80%,232.80,2139.2,22.00%,"$1,980","$5,851","13,200","Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Minneapolis,MN
856,10,Party City Holdco,"2,372",3.90%,215.30,2156.7,83.30%,"$3,455","$1,504","14,600",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Elmsford,NY
857,-31,J.Crew Group,"2,370",-2.30%,-125.00,2495,-,"$1,201",$0,"8,950",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,New York,NY
858,3,EnerSys,"2,367",2.20%,160.20,2206.8,17.70%,"$2,293","$2,907","9,400","President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",-,Reading,PA
859,28,Guess,"2,364",7.90%,-7.90,2371.9,-134.70%,"$1,656","$1,667","14,700",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Los Angeles,CA
860,-860,Patterson-UTI Energy,"2,357",157.30%,5.90,2351.1,-,"$5,759","$3,892","8,000","President, Chief Executive Officer &  Director",Energy,"Oil and Gas Equipment, Services",-,Houston,TX
861,-13,WGL Holdings,"2,355",0.20%,192.60,2162.4,14.90%,"$6,626","$4,296","1,586",Chairman &  Chief Executive Officer,Energy,Energy,-,Leavenworth,WA
862,-50,Wolverine World Wide,"2,350",-5.80%,0.30,2349.7,-99.70%,"$2,399","$2,753","3,700","Chairman, President &  Chief Executive Officer",Apparel,Apparel,-,Rockford,MI
863,22,Xilinx,"2,349",6.10%,622.50,1726.5,13.00%,"$4,741","$18,408","3,831","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,San Jose,CA
864,-55,Vornado Realty Trust,"2,345",-6.60%,227.40,2117.6,-74.90%,"$17,398","$12,786","3,989",Chairman &  Chief Executive Officer,Financials,Real estate,-,New York,NY
865,8,Middleby,"2,336",3.00%,298.10,2037.9,4.90%,"$3,340","$6,896","8,493","Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Elgin,IL
866,13,MPM Holdings,"2,331",4.40%,0.00,2331,-,"$2,717","$1,282","5,200","President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,Waterford,NY
867,40,Cleveland-Cliffs,"2,330.20",10.50%,367.00,1963.2,110.80%,"$2,953.40","$2,067",2938,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Cleveland,OH
868,-19,GGP,"2,328",-0.80%,657.30,1670.7,-49.00%,"$23,350","$19,581","1,700",Chairman &  Chief Executive Officer,Financials,Real estate,-,Chicago,IL
869,90,Cypress Semiconductor,"2,328",21.00%,-80.90,2408.9,-,"$3,537","$6,021","6,099","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,San Jose,CA
870,76,Arch Coal,"2,325",17.70%,238.50,2086.5,-,"$1,980","$1,913","3,790",Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,St. Louis,MO
871,105,GMS,"2,319",24.80%,48.90,2270.1,289.10%,"$1,393","$1,254","4,464","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,-,Tucker,GA
872,27,Waters,"2,309",6.50%,20.30,2288.7,-96.10%,"$5,340","$15,553","7,000",Chairman &  Chief Executive Officer,Technology,"Scientific,Photographic and  Control Equipment",-,Milford,MA
873,40,H.B. Fuller,"2,306",10.10%,58.20,2247.8,-53.10%,"$4,361","$2,513","5,965","President, Chief Executive Officer &  Director",Chemicals,Chemicals,-,St Paul,MN
874,18,Affiliated Managers Group,"2,305",5.00%,689.50,1615.5,45.80%,"$8,702","$10,331","4,400",Chairman &  Chief Executive Officer,Financials,Securities,-,West Palm Beach,FL
875,0,PerkinElmer,"2,301",1.80%,292.60,2008.4,24.90%,"$6,092","$8,367","11,000","Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",-,Waltham,MA
876,-31,Edgewell Personal Care,"2,298",-2.70%,5.70,2292.3,-96.80%,"$4,189","$2,636","6,000","Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,-,Chesterfield,MO
877,14,Maxim Integrated Products,"2,296",4.60%,571.60,1724.4,151.30%,"$4,570","$16,935","7,040","President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,-,San Jose,CA
878,2,Knights of Columbus,"2,290",2.80%,108.10,2181.9,21.90%,"$24,954",-,926,Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",-,New Haven,CT
879,27,IDEX,"2,287",8.20%,337.30,1949.7,24.40%,"$3,400","$10,916","7,167","Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,-,Lake Forest,IL
880,-33,DST Systems,"2,284",-3.00%,451.50,1832.5,5.70%,"$2,938","$4,962","14,200",CEO-SS& C Technologies Holdings,Business Services,Financial Data Services,-,KCMO,MO
881,-67,Chicos FAS,"2,282",-7.80%,101.00,2181,10.70%,"$1,088","$1,152","12,350","President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Apparel,-,Fort Myers,FL
882,6,Nu Skin Enterprises,"2,279",3.20%,129.40,2149.6,-9.50%,"$1,590","$3,888","48,700",Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,-,Provo,UT
883,-9,Herman Miller,"2,278",0.60%,123.90,2154.1,-9.40%,"$1,306","$1,907","7,478","President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",-,Zeeland,MI
884,59,NLV Financial,"2,275",14.40%,259.90,2015.1,66.60%,"$30,209",-,"1,065","President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",-,Montpelier,VT
885,23,Curtiss-Wright,"2,271",7.70%,214.90,2056.1,14.70%,"$3,236","$5,976","8,600",Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,-,Charlotte,NC
886,84,New Jersey Resources,"2,269",20.60%,132.10,2136.9,0.30%,"$3,929","$3,513","1,052","Chairman, President &  Chief Executive Officer",Energy,Energy,-,Wall Township,NJ
887,70,REV Group,"2,268",17.70%,31.40,2236.6,3.90%,"$1,254","$1,341","7,800","President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,-,Milwaukee,WI
888,31,Mueller Industries,"2,266",10.20%,85.60,2180.4,-14.20%,"$1,320","$1,505","4,125",Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,-,Memphis,TN
889,6,GEO Group,"2,263",3.90%,146.20,2116.8,-1.70%,"$4,227","$2,531","18,512",Chairman &  Chief Executive Officer,Business Services,Miscellaneous,-,Boca Raton,FL
890,94,Allison Transmission Holdings,"2,262",22.90%,504.00,1758,134.50%,"$4,205","$5,404","2,700",Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,-,Indianapolis,IN
891,-15,OGE Energy,"2,261",0.10%,619.00,1642,83.00%,"$10,413","$6,544","2,413","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,Oklahoma City,OK
892,-25,Cheesecake Factory,"2,261",-0.70%,157.40,2103.6,12.80%,"$1,333","$2,213","39,100",Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure",Food Services,-,Calabasas,CA
893,-893,PRA Health Sciences,"2,259",24.70%,86.90,2172.1,27.50%,"$3,358","$5,292","15,800","Chairman, President &  Chief Executive Officer",Technology,"Scientific,Photographic and  Control Equipment",-,Raleigh,NC
894,-8,Tupperware Brands,"2,255.80",1.90%,-265.40,2521.2,-218.70%,"$1,388","$2,473",12000,"President, Chief Executive Officer &  Director",Household Products,Household and Personal Products,-,Orlando,FL
895,55,Euronet Worldwide,"2,252",15.00%,156.80,2095.2,-10.10%,"$3,140","$4,058","6,600","Chairman, President &  Chief Executive Officer",Business Services,Financial Data Services,-,Leawood,KS
896,92,FLEETCOR Technologies,"2,250",22.80%,740.20,1509.8,63.60%,"$11,318","$18,186","7,890",Chairman &  Chief Executive Officer,Business Services,Financial Data Services,-,Norcross,GA
897,-45,Nationstar Mortgage Holdings,"2,247",-4.00%,30.00,2217,57.90%,"$18,036","$1,755","7,600","Chairman, President &  Chief Executive Officer",Financials,Diversified Financials,-,Coppell,TX
